단어 명,물리 명,영문 명,금칙어
자금조달비용지수,COFIX,COST OF FUND INDEX,
자금지원능력,FSA,FUND SUPPORT ABILITY,
자금통제,FNRGL,FINANCIAL REGULATION,
자금확정유형구분코드,FCTDCD,FUNDS CONFIRMATION TYPE DIVISION CODE,
자급,SLFSPL,SELF SUPPLY,
자기,ONSLF,ONESELF,
자기개발,SFVLP,SELF DEVELOPMENT,
자기계약,RRTPY,REPRESENTATION OF OTHER PARTY,
자기공명영상,MRI,MAGNETIC RESONANCE IMAGING,MRI
자기부담금,ONSFBDMN,ONESELF BURDEN MONEY,"자기부담금액,자기부담액"
자기소개,SLFINT,SELF INTRODUCTION,
자기소개서,SFINTLTR,SELF INTRODUCTION LETTER,
자기앞수표,CRCC,CASHIERS CHECK,
자기앞어음,CSRBL,CASHIER'S BILL,
자기왜곡탐지기,MAD,MAGNETIC ANOMALY DETECTION,MAD
자기자본,EQTCPTL,EQUITY CAPITAL,
자기자본회전율,TREC,TURNOVER RATIO OF EQUITY CAPITAL,
자기주식,TESSTK,TREASURY STOCK,
자기차량손해,DMGOFCAR,DAMAGE OF OWN CAR,자차
자녀,CHILD,CHILDREN,
자녀학비보조수당,CSES,CHILDREN SCHOOL EXPENSE SUBSIDY,
자녀학비보조수당분기월코드,CQCD,CHILDREN SCHOOL EXPENSE SUBSIDY QUARTER CODE,
자대,OWNUT,OWN UNIT,
자대활용량,RUSQTY,REUSE QUANTITY,
자도,OWNPRV,OWN PROVINCE,
자동,AUTO,AUTOMATIC,
자동납부,ATMCPAY,AUTOMATIC PAYMENT,
자동보급,AUTOSPL,AUTOMATIC SUPPLY,
자동분개,ATMJNL,AUTOMATIC JOURNALIZING,
자동식,AUTOPR,AUTOMATIC OPERATED,
자동이체,ATCNG,AUTOMATIC EXCHANGE,
자동재보급,AR,AUTOMATIC RESUPPLY,
자동전표,ATMPST,AUTOMATIC POSTING,
